rand_index,media,desvio_padrao
0.7756268164129846,0.9346353935175785,0.07877956567091031
0.776910695995708,0.9338584245642687,0.07935736240282527
0.7781802376122863,0.933095296196857,0.07990582268721085
0.7794356767097083,0.9323457370774075,0.08042642338378579
0.7806772436656405,0.9316094822550204,0.08092054201700861
0.7819051639228929,0.9308862729877154,0.08138946578574943
0.7831196581196581,0.9301758565700805,0.0818343995284117
0.784320942215679,0.9294779861664709,0.0822564727901413
0.7850991114149009,0.928790467715273,0.0826601362249319
0.7862333559016024,0.9281148415929333,0.08304320865179325
0.7869534114280604,0.9274489857902688,0.08340980261101211
0.7880237399238197,0.9267944071711774,0.08375779722041132
0.7872405774209118,0.92614228647141,0.08410212350875063
0.7878722016952836,0.9254991697980326,0.08443209653076562
0.7885012919896641,0.9248649203637346,0.08474823816813708
0.7894265232974911,0.9242407802850883,0.0850488616229861
0.7859045364224412,0.9236062103591128,0.08536691331256815
0.7868124502534456,0.9229815813175345,0.08566964912665306
0.7873391448733914,0.9223650247882429,0.08596033658505817
0.7878650761003703,0.9217564277353566,0.0862393770074072
0.7886755533814357,0.9211569643373659,0.08650518404530123
0.7894800630226639,0.9205664849592731,0.08675825023135382
0.7899183215887252,0.9199832342299403,0.08700144703770196
0.7903571428571429,0.9194071182682835,0.0872350756192029
0.7907964601769911,0.9188380445599149,0.08745942565073486
0.7912362091146544,0.918275921936808,0.08767477590921359
0.7901306128758019,0.9177138811075931,0.08789117709184346
0.7907377614341531,0.9171594002356567,0.08809781145025233
0.7911144864249098,0.9166113788712621,0.08829640370204069
0.7916807829851308,0.9160705537808459,0.0884860327651206
0.7881773399014779,0.9155192899279176,0.08869175815960123
0.7885156134379162,0.9149742097713082,0.0888898048253589
0.7890392868933641,0.9144360263402058,0.08907927477147144
0.7893435170030915,0.9139037177898351,0.08926172302606591
0.7896501983411468,0.9133772198260696,0.08943732985515328
0.7899592362154044,0.9128564688403705,0.08960626998161075
0.7887104208772117,0.9123348467901051,0.08977768297704328
0.7890017931858936,0.911818808908916,0.08994268513070565
0.7892956764295677,0.9113082958569187,0.09010143514790313
0.7895919778699861,0.9108032488943173,0.09025408709906031
0.7898906073179932,0.9103036098795392,0.09040079059659138
0.7901914770601639,0.9098093212671137,0.09054169096291957
0.7904945017877623,0.9093203261053131,0.0906769293902034
0.7907995985279358,0.9088365680335687,0.090806643092286
0.7911066865770698,0.9083579912796805,0.0909309654493443
0.7897370066818077,0.9078777443784746,0.09105878174681677
0.7900287318793261,0.9074025467474296,0.09118137535047455
0.7903225806451613,0.9069323460803522,0.09129886893346047
0.7906184738955824,0.9064670905916131,0.09141138189216776
0.7906613545816733,0.9060057131573106,0.09152030935641958
0.789255675709859,0.9055424193579159,0.09163298525964857
0.7895100069013112,0.9050837932217238,0.09174105399768666
0.789766891786748,0.9046297896727672,0.09184461680570602
0.7900262467191601,0.9041803640141256,0.09194377245704193
0.7902879901960784,0.9037354719288988,0.09203861733827214
0.7905520428015564,0.9032950694809325,0.09212924552132054
0.7908183271498809,0.9028591131153083,0.09221574883273632
0.7874053455448804,0.9024133456729514,0.09231564420588809
0.7872883872883872,0.9019705573714724,0.0924130969079689
0.7875331564986737,0.9015320998968639,0.09250644934783693
0.7877804100494282,0.901097933141721,0.09259578756838815
0.7880300699503672,0.9006680173120961,0.092681195655108
0.788282060145178,0.9002423129288881,0.09276275579102633
0.7885363064608347,0.8998207808290086,0.0928405483096813
0.7887927365583771,0.8994033821663371,0.09291465174618535
0.789051279885106,0.8989900784124748,0.09298514288648065
0.7857062999608698,0.8985673777466107,0.09306815337561151
0.7859679298673916,0.8981487924385094,0.09314740401860773
0.7856808481343798,0.8977322444966422,0.09322541871799762
0.785923192565259,0.8973196649692202,0.09329988513927273
0.7826405469937052,0.8968980505648985,0.09338649786263488
0.7794117647058824,0.8964676978694442,0.09348512248120908
0.776235929520601,0.8960288957951783,0.09359560704616361
0.7764830789648308,0.895594183733977,0.09370198314964151
0.7767325428194993,0.8951635256147217,0.09380433408392837
0.7769842515565322,0.8947368856361723,0.09390274126751544
0.7765888372334623,0.8943118926563064,0.09400020135660082
0.7750186947216421,0.8938843184701607,0.09410202623131515
0.7746287762416795,0.8934584058193447,0.09420284868308332
0.7742501270971022,0.8930341770694434,0.09430263839912346
0.7738825370384392,0.8926116535232342,0.09440136672378192
0.7723228829912538,0.8921866048641106,0.09450437099512506
0.7719603842134076,0.891763273101256,0.09460626329236839
0.7716085989621942,0.8913416777533997,0.09470701792190267
0.771267329162066,0.8909218373737097,0.0948066106981561
0.7709363806924783,0.8905037695803953,0.09490501889212356
0.7706155632984901,0.8900874910863609,0.09500222118119613
0.7703046905036525,0.8896730177279433,0.09509819760028385
0.7700035795251163,0.889260364492761,0.09519292949422267
0.7697120511908994,0.8888495455467066,0.09528639947145381
0.7691945582074095,0.8884397681928049,0.0953795981322701
0.7688999018186918,0.8880317823007431,0.09547158305510013
0.7686146130807272,0.8876256014530559,0.09556233753569718
0.7683385218494178,0.8872212384713487,0.09565184603170285
0.7680714612918003,0.8868187054403367,0.09574009412128595
0.7678132678132679,0.8864180137311546,0.09582706846292785
0.7675637809865998,0.8860191740239581,0.09591275675633756
0.7674799667796458,0.8856227218258166,0.09599650055090139
0.7658639910813824,0.8852235260566685,0.09608464070284821
0.7670210409745294,0.8848308267706814,0.09616574256811437
0.7671338364392423,0.8844411016371335,0.0962441978160764
0.7660262715013223,0.8840502936168834,0.09632496857037368
0.7671313183949974,0.8836656917247061,0.09639915731169554
0.767320966350302,0.8832842336087244,0.0964705368038979
0.7683917282760099,0.8829087679050227,0.09653573474480447
0.7694534925805284,0.882539206747614,0.0965949514152741
0.7705063665975718,0.8821754637601138,0.09664838014142811
0.7706258143151347,0.8818144616583501,0.09669963412101495
0.770602359327696,0.8814557129411544,0.0967492832248092
0.7716004563841925,0.8811024806049584,0.09679362393572241
0.7725904856129937,0.880754685749215,0.09683282358157044
0.7726509379864013,0.8804093063633913,0.0968703053935198
0.7725728007163062,0.8800658780014579,0.09690659083133502
0.7725002527550299,0.8797243998260724,0.09694168201484933
0.7734177215189874,0.879387986287126,0.0969721610528365
0.7743281555724154,0.8790565672627894,0.0969981683018136
0.775231633037716,0.8787300737589369,0.09701983966997353
0.7761282309102738,0.878408437887938,0.0970373067871343
0.7759796238244514,0.8780883478439896,0.09705409392637844
0.7758372274143303,0.8777698085280093,0.0970701934409289
0.7766877575898299,0.8774558891151578,0.09708240172496613
0.7775320654577621,0.8771465274320079,0.09709083416198896
0.7783702174827046,0.8768416622778434,0.09709560264600298
0.7781766381766382,0.8765380775883013,0.09709999596013465
